breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adopted,Greyhound,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
adopted,Havanese,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
adopted,Hound,114,114,114,114,114,102,114,114,93,114,114,114,88,114,114,114,114,114,114,114,114,114
adopted,Husky,94,94,94,94,94,75,94,94,88,94,94,94,78,94,94,94,94,94,94,94,94,94
adopted,Irish Terrier,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Irish Wolfhound,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
adopted,Italian Greyhound,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
adopted,Jack Russell Terrier,92,92,92,92,92,75,92,92,88,92,92,92,77,92,92,92,92,92,92,92,92,92
adopted,Klee Kai,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
adopted,Labradoodle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
adopted,Labrador Retriever,622,622,622,622,622,513,622,622,590,622,622,622,533,622,622,622,622,622,622,622,622,622
adopted,Lhasa Apso,14,14,14,14,14,11,14,14,13,14,14,14,10,14,14,14,14,14,14,14,14,14
adopted,Maltese,21,21,21,21,21,9,21,21,18,21,21,21,12,21,21,21,21,21,21,21,21,21
adopted,Maltipoo,7,7,7,7,7,3,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7
adopted,Manchester Terrier,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
adopted,Mastiff,17,17,17,17,17,8,17,17,16,17,17,17,8,17,17,17,17,17,17,17,17,17
adopted,Miniature Pinscher,13,13,13,13,13,9,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13
adopted,Miniature Poodle,9,9,9,9,9,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9
adopted,Miniature Schnauzer,12,12,12,12,12,10,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12
adopted,Mixed Breed,170,170,170,170,170,133,170,170,121,170,170,170,142,170,170,170,170,170,170,170,170,170
adopted,Mountain Cur,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6
adopted,Mountain Dog,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
adopted,Neapolitan Mastiff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Newfoundland Dog,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Norfolk Terrier,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
adopted,Norwegian Buhund,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Old English Sheepdog,7,7,7,7,7,0,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7
adopted,Papillon,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
adopted,Parson Russell Terrier,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Patterdale Terrier / Fell Terrier,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Pekingese,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
adopted,Pembroke Welsh Corgi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Petit Basset Griffon Vendeen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Pharaoh Hound,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Pit Bull Terrier,328,328,328,328,328,312,328,328,217,328,328,328,301,328,328,328,328,328,328,328,328,328
adopted,Plott Hound,30,30,30,30,30,29,30,30,30,30,30,30,28,30,30,30,30,30,30,30,30,30
adopted,Pointer,26,26,26,26,26,24,26,26,26,26,26,26,20,26,26,26,26,26,26,26,26,26
adopted,Pomeranian,27,27,27,27,27,19,27,27,26,27,27,27,22,27,27,27,27,27,27,27,27,27
adopted,Poodle,56,56,56,56,56,41,56,56,55,56,56,56,39,56,56,56,56,56,56,56,56,56
adopted,Pug,37,37,37,37,37,33,37,37,36,37,37,37,32,37,37,37,37,37,37,37,37,37
adopted,Pyrenean Shepherd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Rat Terrier,61,61,61,61,61,36,61,61,56,61,61,61,37,61,61,61,61,61,61,61,61,61
adopted,Redbone Coonhound,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
adopted,Retriever,63,63,63,63,63,43,63,63,61,63,63,63,43,63,63,63,63,63,63,63,63,63
adopted,Rhodesian Ridgeback,12,12,12,12,12,11,12,12,11,12,12,12,11,12,12,12,12,12,12,12,12,12
adopted,Rottweiler,46,46,46,46,46,44,46,46,39,46,46,46,37,46,46,46,46,46,46,46,46,46
adopted,Saint Bernard,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
adopted,Samoyed,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adopted,Schipperke,8,8,8,8,8,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
adopted,Schnauzer,86,86,86,86,86,56,86,86,75,86,86,86,52,86,86,86,86,86,86,86,86,86
adopted,Schnoodle,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
adopted,Shar-Pei,21,21,21,21,21,20,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21
adopted,Sheep Dog,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
adopted,Shepherd,222,222,222,222,222,196,222,222,208,222,222,222,198,222,222,222,222,222,222,222,222,222
adopted,Shetland Sheepdog / Sheltie,8,8,8,8,8,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
adopted,Shiba Inu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Shih Tzu,63,63,63,63,63,34,63,63,59,63,63,63,43,63,63,63,63,63,63,63,63,63
adopted,Siberian Husky,14,14,14,14,14,11,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14
adopted,Silky Terrier,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
adopted,Skye Terrier,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
